ticker,revenue,earning,stock price,market cap
GOOG,196682.0,51363.0,2316.16,1536037.879808
AMZN,419130.0,26903.0,3222.9,1625385.730048
AAPL,325406.0,76311.0,127.45,2126834.56512
FB,94400.0,33740.0,315.94,895835.242496
MSFT,159969.0,56015.0,248.15,1868959.055872
TSLA,35940.0,1143.0,589.74,568114.21696
NVDA,16675.0,4332.0,569.72,366580.03968
AMD,11422.0,2883.0,74.59,90628.34176
INTC,77712.0,18599.0,55.35,223503.302656
TSM,1391067.628,540588.667,112.46,535921.393664
JPM,118578.0,40566.0,164.01,496474.652672
BAC,80883.0,21934.0,42.36,362996.400128
T,172920.0,-2236.0,32.24,230193.610752
U,781.1135,-282.6155,87.48,24435.613696
NNDM,3.399,-48.494,6.23,1550.161024
Z,3339.817,-162.115,111.88,27816.72448
OPEN,2583.121,-286.76,15.12,8854.180864
RDFN,886.093,-18.527,51.14,5318.304256
005930.KS,2468672.9,282866.24,80100,5375495.16832768
035420.KS,46054.73836359,8459.7904731,342500,507992.58370048
035720.KS,41990.5413272,1867.7420514,109000,470325.21719808
055550.KS,115908.35,34145.95,41200,212839.20150528
105560.KS,125303.13,39957.97,57600,224429.17494784
086790.KS,145253.71,28146.74,45900,133827.41655552
316140.KS,0.0,0.0,11100,80171.75117824
024110.KS,55865.5,16247.64,10700,79037.05038848
005380.KS,1039976.01,14244.36,229000,584405.71420672
000270.KS,591680.96,14875.85,82600,331169.01081088
066570.KS,673437.32,19411.9,148500,279420.56886272
000660.KS,319004.18,47551.02,118500,814830.87740928
005490.KS,577927.9573282,16021.4765697,380000,287377.28937984
017670.KS,186246.51,15043.52,317000,225577.51246848
003490.KS,59262.8189541,-3344.4518271,29300,102396.1726976
020560.KS,30097.9854475,-5667.7216378,15100,11236.18127872
089590.KS,3770.456607,-3064.7579705,24500,9415.27662592
